C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
74  ;* alf Cyg                          ;sg*;20 41 25.91514 +45 16 49.2197          ;1.11     ;1.34     ;1.25     ;1.14     ;1.04     ;A2Ia                 ; 778;   0
75  ;* 55 Cyg                           ;s*b;20 48 56.2915921440 +46 06 50.883645024;4.83     ;5.28     ;4.86     ;4.41     ;4.10     ;B2.5Ia               ; 506;   0
76  ;* f01 Cyg                          ;Be*;20 59 49.5541247496 +47 31 15.363746436;3.77     ;4.71     ;4.75     ;4.62     ;4.63     ;B1.5Vnne             ; 514;   0
77  ;HD 199478                          ;s*b;20 55 49.8039729168 +47 25 03.564093468;5.79     ;6.12     ;5.64     ;5.16     ;4.78     ;B7Ia                 ; 231;   0
78  ;HD 208502                          ;PM*;21 54 59.7407165136 +53 56 08.173875588;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F5                   ;  36;   0
79  ;V* RW Cep                          ;s*r;22 23 07.0152061200 +55 57 47.624368284;11.25    ;8.87     ;6.65     ;4.94     ;3.78     ;K2_0-Ia              ; 182;   0
80  ;V* V509 Cas                        ;LP*;23 00 05.1012218544 +56 56 43.350876312;8.01     ;6.68     ;5.13     ;3.96     ;3.11     ;G4_0                 ; 340;   0
81  ;HD 219134                          ;PM*;23 13 16.9749603608 +57 10 06.083823619;7.460    ;6.560    ;5.570    ;4.76     ;4.23     ;K3V                  ; 677;   1
82  ;* rho Cas                          ;LP*;23 54 23.0325302520 +57 29 57.774737400;7.00     ;5.85     ;4.59     ;3.63     ;2.89     ;G2_0                 ; 402;   0
83  ;HD 222794                          ;** ;23 43 27.0432915859 +58 04 49.071177861;     ~   ;7.77     ;     ~   ;6.8      ;     ~   ;G2V                  ;  91;   0
84  ;* alf Cas                          ;PM*;00 40 30.4430418459 +56 32 14.385181354;4.52     ;3.40     ;2.23     ;1.45     ;0.85     ;K0-IIIa              ; 349;   0
85  ;* eta Cas B                        ;PM*;00 49 05.1918602391 +57 49 04.174468559;     ~   ;8.90     ;7.51     ;6.9      ;     ~   ;K7Ve                 ; 135;   0
86  ;* eta Cas                          ;PM*;00 49 06.2945942922 +57 48 54.638239716;4.04     ;4.02     ;3.44     ;2.94     ;2.58     ;F9V                  ; 681;   0
