C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
1698;V* V992 Her                        ;LP*;18 26 56.9759669304 +17 44 02.464065996;     ~   ;10.15    ;9.206    ;6.73     ;7.746    ;K0                   ;  14;   0
1699;* 111 Her                          ;PM*;18 47 01.2343128144 +18 10 53.457823992;4.56     ;4.49     ;4.36     ;4.19     ;4.13     ;AVa+                 ; 167;   0
1700;HD 175743                          ;PM*;18 56 06.1210399992 +18 06 19.475094852;     ~   ;     ~   ;     ~   ;5.0      ;     ~   ;K1III                ;  78;   0
1701;HD 178428                          ;SB*;19 07 57.3202744638 +16 51 12.174804109;     ~   ;6.77     ;6.07     ;5.6      ;     ~   ;G4.5V                ; 200;   0
1702;HD 183143                          ;s*b;19 27 26.5636061496 +18 17 45.193019136;8.25     ;8.08     ;6.86     ;5.74     ;4.79     ;B7Ia+                ; 464;   0
1703;* bet Sge                          ;*  ;19 41 02.9389551192 +17 28 33.752680392;6.33     ;5.43     ;4.38     ;3.66     ;3.16     ;G8IIIaCN0.5          ; 169;   0
1704;* 10 Sge                           ;cC*;19 56 01.2628947456 +16 38 05.262056412;6.45     ;6.03     ;5.36     ;6.81     ;4.789    ;F7Ib                 ; 369;   0
1705;HD 190067                          ;PM*;20 02 34.1553139987 +15 35 31.468310729;8.098    ;7.854    ;7.115    ;6.696    ;6.304    ;K0VFe-0.9            ; 151;   0
1706;HD 190323                          ;*  ;20 03 49.6140929712 +14 58 58.745962164;8.54     ;8.03     ;7.03     ;6.33     ;5.88     ;F8Ia                 ;  67;   0
1707;HD 191785                          ;PM*;20 11 06.0739902510 +16 11 16.792976869;8.665    ;8.167    ;7.323    ;6.862    ;6.437    ;K0V                  ; 130;   0
1708;* bet Del                          ;** ;20 37 32.94130 +14 35 42.3195          ;4.16     ;4.07     ;3.63     ;3.23     ;2.99     ;F5IV                 ; 285;   0
1709;* tet Del                          ;s*r;20 38 43.9865193912 +13 18 54.455461128;8.91     ;7.23     ;5.71     ;4.63     ;3.87     ;K3Ib                 ;  88;   0
1710;HD 133161                          ;PM*;15 02 33.0594755544 +16 03 18.321447024;     ~   ;7.61     ;     ~   ;6.6      ;     ~   ;G2V                  ;  74;   0
1711;* kap Ser                          ;PM*;15 48 44.3772022650 +18 08 29.633668968;7.66     ;5.71     ;4.09     ;2.84     ;1.86     ;M0.5IIIab            ; 132;   0
1712;* r Her                            ;SB*;16 01 14.3117373240 +17 49 06.163202784;     ~   ;     ~   ;     ~   ;4.5      ;     ~   ;G8IIIb               ;  93;   0
1713;* gam Her                          ;PM*;16 21 55.2146227867 +19 09 11.262744388;4.22     ;4.03     ;3.76     ;3.47     ;3.33     ;A9IIIbn              ; 184;   0
1714;HD 156111                          ;SB*;17 14 57.1389965184 +19 40 57.310447332;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;G8V                  ;  37;   0
1715;* 106 Her                          ;PM*;18 20 17.9149366104 +21 57 40.667073804;8.54     ;6.54     ;4.96     ;3.62     ;2.62     ;M1III                ; 103;   0
1716;* 109 Her                          ;** ;18 23 41.8897062084 +21 46 11.109609046;6.18     ;5.02     ;3.84     ;2.99     ;2.39     ;K2IIIab              ; 187;   0
1717;HD 170829                          ;SB*;18 30 41.6507921448 +20 48 54.168637788;     ~   ;7.28     ;6.48     ;6.0      ;     ~   ;G8V                  ;  89;   0
1718;* 110 Her                          ;PM*;18 45 39.7256792847 +20 32 46.713086264;4.66     ;4.65     ;4.19     ;3.80     ;3.54     ;F5.5IV-V             ; 427;   0
1719;HD 178330                          ;PM*;19 07 23.8177748400 +20 25 30.880534836;9.400    ;8.460    ;     ~   ;6.8      ;     ~   ;K2                   ;  22;   0
1720;HD 182955                          ;*  ;19 26 28.6865078856 +19 53 29.381827056;9.29     ;7.39     ;5.87     ;4.69     ;3.65     ;M0III                ;  63;   0
1721;HD 185859                          ;Em*;19 40 28.3246282752 +20 28 37.474738716;6.290    ;6.890    ;6.520    ;6.18     ;5.92     ;B3I+                 ; 145;   0
1722;* 9 Vul                            ;*  ;19 34 34.8970506960 +19 46 24.242282112;4.48     ;4.91     ;5.00     ;5.01     ;5.10     ;B8IIIn               ;  99;   0
1723;* alf Sge                          ;*  ;19 40 05.7913315848 +18 00 50.006621484;5.59     ;5.16     ;4.38     ;3.79     ;3.40     ;G1II                 ; 212;   0
1724;* del Sge                          ;SB*;19 47 23.2655973192 +18 32 03.528856248;6.20     ;5.12     ;3.81     ;2.37     ;1.08     ;M2II+B0V             ; 208;   0
1725;* zet Sge                          ;** ;19 48 58.6597780 +19 08 31.351561      ;     ~   ;5.105    ;5.034    ;6.62     ;     ~   ;A3V                  ; 155;   0
1726;* gam Sge                          ;PM*;19 58 45.4282303572 +19 29 31.726069716;6.97     ;5.04     ;3.47     ;2.27     ;1.35     ;M0-III               ; 276;   0
1727;* 15 Sge                           ;PM*;20 04 06.2207683221 +17 04 12.676556401;     ~   ;6.390    ;5.788    ;5.4      ;     ~   ;G0V                  ; 420;   0
1728;* alf Del                          ;** ;20 39 38.2796355689 +15 54 43.776032197;3.550    ;3.740    ;3.800    ;3.77     ;3.81     ;B9IV                 ; 289;   0
1729;* gam01 Del                        ;PM*;20 46 38.8610460432 +16 07 26.861778660;     ~   ;5.53     ;4.96     ;3.6      ;     ~   ;F8V                  ; 118;   0
1730;* gam02 Del                        ;PM*;20 46 39.4998239664 +16 07 27.458234724;     ~   ;5.26     ;4.25     ;4.1      ;     ~   ;K1IV                 ; 192;   0
1731;HD 135101B                         ;PM*;15 12 43.7765264754 +19 17 32.775938988;     ~   ;8.26     ;     ~   ;6.8      ;     ~   ;G7V                  ; 108;   0
1732;HD 135101                          ;PM*;15 12 43.4807788693 +19 17 09.742475250;     ~   ;7.36     ;     ~   ;6.2      ;     ~   ;G5V_Fe-0.9           ; 190;   0
1733;HD 136923                          ;PM*;15 22 46.8339234864 +18 55 08.256962100;8.315    ;7.932    ;7.123    ;6.697    ;6.302    ;G9V                  ;  94;   0
1734;* rho Ser                          ;PM*;15 51 15.9092751251 +20 58 40.513558638;8.20     ;6.32     ;4.78     ;3.56     ;2.71     ;K4.5III              ;  92;   0
1735;V* QY Ser                          ;LP*;15 54 34.6121990064 +20 18 39.483057780;8.98     ;7.03     ;5.44     ;4.18     ;3.21     ;K8IIIb               ;  93;   0
1736;* bet Her                          ;SB*;16 30 13.2003216885 +21 29 22.598684027;4.39     ;3.70     ;2.77     ;2.13     ;1.65     ;G7IIIaFe-0.5         ; 331;   0
1737;HD 149907                          ;PM*;16 36 53.9397389616 +22 52 04.503653508;8.720    ;7.870    ;     ~   ;6.2      ;     ~   ;K0III                ;  25;   0
1738;HD 151202                          ;PM*;16 45 02.2911670080 +23 43 03.727163892;9.140    ;8.310    ;     ~   ;6.7      ;     ~   ;K0                   ;  25;   0
1739;* del Her                          ;SB*;17 15 01.91058 +24 50 21.1451          ;3.29     ;3.21     ;3.13     ;3.08     ;3.05     ;A1IVn                ; 209;   0
1740;HD 157466                          ;PM*;17 22 27.6459785904 +24 52 45.935235804;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F8V                  ; 133;   0
1741;* 113 Her                          ;SB*;18 54 44.8849895400 +22 38 42.271489464;5.88     ;5.38     ;4.60     ;3.96     ;3.50     ;G8III+:+A0.5         ; 101;   0
1742;* 1 Vul                            ;SB*;19 16 13.0391965104 +21 23 25.544515308;4.18     ;4.72     ;4.77     ;4.76     ;4.83     ;B4IV                 ; 130;   0
1743;HD 184385                          ;PM*;19 33 25.5526276656 +21 50 25.176346080;7.970    ;7.630    ;6.880    ;6.468    ;6.098    ;G8V                  ; 107;   0
1744;HD 187238                          ;s*r;19 48 11.8385295864 +22 45 46.347988680;11.27    ;9.23     ;7.19     ;5.60     ;4.59     ;K2Iab-Ib             ;  61;   0
1745;* 12 Vul                           ;Be*;19 51 04.1083085616 +22 36 36.172997964;4.15     ;4.84     ;4.96     ;4.98     ;5.12     ;B2.5Ve               ; 192;   0
1746;HD 190066                          ;s*b;20 02 22.1030449008 +22 09 05.249915568;6.07     ;6.78     ;6.60     ;6.43     ;6.36     ;B0.7Ib               ;  87;   0
1747;HD 195019                          ;PM*;20 28 18.6366815627 +18 46 10.180434472;7.730    ;     ~   ;     ~   ;6.5      ;     ~   ;G1V                  ; 276;   1
1748;V* EU Del                          ;LP*;20 37 54.7276970976 +18 16 06.894742044;8.42     ;7.38     ;5.89     ;3.24     ;0.97     ;M6III                ; 186;   0
1749;HD 140572                          ;PM*;15 43 33.0707380584 +22 55 13.808563284;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F8V                  ;  34;   0
1750;* lam Her                          ;*  ;17 30 44.3098209648 +26 06 38.324204244;7.53     ;5.85     ;4.41     ;3.37     ;2.62     ;K3.5III              ; 139;   0
1751;* mu.01 Her                        ;** ;17 46 27.5472960785 +27 43 14.560978925;4.56     ;4.17     ;3.42     ;2.89     ;2.51     ;G5IV                 ; 719;   0
1752;* 89 Her                           ;pA*;17 55 25.1883476136 +26 02 59.968457664;5.36     ;5.70     ;5.36     ;5.06     ;4.94     ;F2Ibp                ; 421;   0
1753;HD 164922                          ;PM*;18 02 30.8623420470 +26 18 46.805024012;     ~   ;7.79     ;     ~   ;6.5      ;     ~   ;G9V                  ; 238;   1
1754;HD 173780                          ;*  ;18 46 04.4794939944 +26 39 43.664068548;7.26     ;6.04     ;4.84     ;3.96     ;3.35     ;K2III                ; 124;   0
1755;HD 181098                          ;PM*;19 18 11.7805395552 +24 24 55.963294848;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;K2III                ;  23;   0
1756;* 3 Cyg                            ;** ;19 25 25.7579593032 +24 54 45.990132161;     ~   ;6.70     ;     ~   ;5.9      ;     ~   ;F8                   ; 104;   0
1757;* alf Vul                          ;PM*;19 28 42.3299213429 +24 39 53.661067470;7.77     ;5.95     ;4.45     ;3.24     ;2.27     ;M0.5IIIb             ; 194;   0
1758;HD 184590                          ;*  ;19 34 14.0946763632 +25 21 09.073798632;10.990   ;8.880    ;7.080    ;6.06     ;5        ;M1III                ;  27;   0
1759;HD 186379                          ;PM*;19 43 07.0299027408 +24 35 52.587634884;     ~   ;7.41     ;     ~   ;6.5      ;     ~   ;F8V                  ;  95;   0
1760;HD 187299                          ;SB*;19 48 21.5927942856 +25 00 34.369891380;10.41    ;8.87     ;7.25     ;6.03     ;5.24     ;G8Ib+B6/9V           ;  96;   0
1761;V* NR Vul                          ;s*r;19 50 11.9276355408 +24 55 24.180686508;     ~   ;12.41    ;9.36     ;6.60     ;4.49     ;M1Ia:                ;  84;   0
1762;HD 189067                          ;PM*;19 57 19.7791797600 +24 05 17.363762700;7.920    ;7.800    ;     ~   ;6.8      ;     ~   ;G2V                  ;  55;   0
1763;HD 190404                          ;PM*;20 03 52.1269218534 +23 20 26.469023374;8.490    ;8.080    ;7.270    ;6.759    ;6.314    ;K1V                  ; 254;   0
1764;HD 195034                          ;PM*;20 28 11.8154523936 +22 07 44.371249212;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;G5                   ;  98;   0
1765;* 29 Vul                           ;PM*;20 38 31.3388452704 +21 12 04.185221724;4.73     ;4.80     ;4.82     ;4.79     ;4.83     ;A0Va(_sh)            ; 139;   0
1766;HD 197076                          ;PM*;20 40 45.1407228005 +19 56 07.930118119;7.14     ;7.06     ;6.44     ;5.95     ;5.61     ;G5V                  ; 279;   0
1767;* del CrB                          ;RS*;15 49 35.6469970632 +26 04 06.214310112;5.80     ;5.43     ;4.63     ;4.00     ;3.58     ;G5III-IVFe-1         ; 216;   0
1768;* eps CrB                          ;PM*;15 57 35.2514020181 +26 52 40.366652765;6.650    ;5.360    ;4.130    ;3.27     ;2.64     ;K2IIIab              ; 280;   1
1769;HD 144287                          ;SB*;16 04 03.6443478821 +25 15 17.247159500;     ~   ;7.873    ;7.101    ;6.6      ;     ~   ;G8+V                 ; 181;   0
1770;HD 145457                          ;RG*;16 10 03.9144033672 +26 44 33.893220120;     ~   ;7.61     ;6.565    ;6.91     ;     ~   ;K0III                ;  77;   1
1771;* nu. Her                          ;LP*;17 58 30.1496073102 +30 11 21.387652276;4.95     ;4.80     ;4.41     ;4.01     ;3.78     ;kA9hF2mF2(IV)        ; 186;   0
1772;* ksi Her                          ;LP*;17 57 45.8856741278 +29 14 52.366005079;5.34     ;4.64     ;3.70     ;3.01     ;2.55     ;G8.5III              ; 252;   0
1773;HD 164595                          ;PM*;18 00 38.8944915648 +29 34 18.921829044;     ~   ;7.72     ;     ~   ;6.7      ;     ~   ;G2V                  ; 132;   0
1774;HD 165281                          ;PM*;18 03 53.4012979344 +30 22 38.001429660;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F5V                  ;  51;   0
1775;* b Her                            ;SB*;18 07 01.5906608928 +30 33 43.584892488;5.52     ;5.67     ;5.13     ;4.61     ;4.28     ;F6V                  ; 496;   0
1776;HD 166411                          ;PM*;18 09 10.2256072584 +30 28 10.207144704;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;K1III:               ;  31;   0
1777;HD 167588                          ;PM*;18 14 43.9996972296 +29 12 26.301627612;     ~   ;7.10     ;     ~   ;6.2      ;     ~   ;F8V                  ;  88;   0
1778;HD 169981                          ;SB*;18 25 58.7869816656 +29 49 44.149000404;5.99     ;5.90     ;5.83     ;5.75     ;5.71     ;A2IV                 ;  78;   0
1779;* bet01 Cyg                        ;** ;19 30 43.2756033620 +27 57 34.825072398;4.83     ;4.21     ;3.08     ;2.21     ;1.55     ;K3II+B9.5V           ; 238;   0
1780;HD 187237                          ;PM*;19 48 00.8811360456 +27 52 10.305591024;     ~   ;7.51     ;     ~   ;6.5      ;     ~   ;G2IV-V               ;  86;   0
1781;HD 187462                          ;PM*;19 49 08.5656690600 +27 43 54.096284460;     ~   ;7.51     ;     ~   ;6.6      ;     ~   ;G0IV                 ;  42;   0
1782;* 16 Vul                           ;** ;20 02 01.43152 +24 56 16.9534          ;     ~   ;     ~   ;     ~   ;6.71     ;     ~   ;F2III                ;  94;   0
1783;HD 190788                          ;AB*;20 05 50.3401923984 +25 36 03.154670532;12.44    ;10.23    ;7.95     ;5.78     ;3.99     ;M3-Ib-II             ;  31;   0
1784;* 25 Vul                           ;Be*;20 22 03.4304260608 +24 26 45.964990644;5.06     ;5.45     ;5.56     ;5.59     ;5.58     ;B6IVe                ; 110;   0
1785;* ome Boo                          ;*  ;15 02 06.5087958888 +25 00 29.299673808;8.14     ;6.31     ;4.81     ;3.62     ;2.83     ;K4III                ; 121;   0
1786;* c Boo                            ;PM*;15 07 18.0659348352 +24 52 09.099406380;5.34     ;5.36     ;4.93     ;4.53     ;4.32     ;F5V                  ; 374;   0
1787;* alf CrB                          ;SB*;15 34 41.2684881676 +26 42 52.866000089;2.19     ;2.22     ;2.24     ;2.21     ;2.25     ;A1IV                 ; 500;   0
1788;V* R CrB                           ;RC*;15 48 34.4154827352 +28 09 24.295852440;6.44     ;6.31     ;5.71     ;5.26     ;5.08     ;G0Iep                ; 798;   0
1789;HD 149890                          ;PM*;16 36 26.0007329961 +30 56 30.056537672;     ~   ;7.66     ;     ~   ;6.8      ;     ~   ;F8V                  ;  70;   0
1790;* zet Her                          ;SB*;16 41 17.16104 +31 36 09.7873          ;3.640    ;3.430    ;2.800    ;2.31     ;1.99     ;G0IV                 ; 563;   0
1791;* 48 Her                           ;PM*;16 49 15.2773047480 +29 57 52.963390044;9.000    ;7.830    ;6.580    ;5.71     ;     ~   ;K1II-III             ;  65;   0
1792;* eps Her                          ;SB*;17 00 17.3733587483 +30 55 35.055213817;3.80     ;3.91     ;3.92     ;3.93     ;3.97     ;A0V                  ; 177;   0
1793;HD 155060                          ;MS*;17 07 55.8294465024 +32 06 19.742079816;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F8                   ;  65;   0
1794;* w Her                            ;RG*;17 20 39.5674498400 +32 28 03.877958860;6.08     ;6.01     ;5.39     ;4.89     ;4.56     ;G0V                  ; 482;   0
1795;HD 176051                          ;SB*;18 57 01.60985 +32 54 04.5723          ;5.85     ;5.82     ;     ~   ;4.9      ;     ~   ;F9V+K1V              ; 272;   1
1796;* gam Lyr                          ;*  ;18 58 56.6225626515 +32 41 22.400666366;3.140    ;3.200    ;3.250    ;3.27     ;3.28     ;B9.5II-III           ; 296;   0
1797;HD 176377                          ;PM*;18 58 51.0029782656 +30 10 50.318900724;     ~   ;7.37     ;     ~   ;6.4      ;     ~   ;G1V                  ; 145;   0
1798;HD 180314                          ;PM*;19 14 50.2086422328 +31 51 37.263717432;     ~   ;7.63     ;6.608    ;6.41     ;     ~   ;K0                   ;  56;   1
1799;HD 183650                          ;PM*;19 29 21.4443359218 +31 36 31.163027581;     ~   ;7.67     ;     ~   ;6.5      ;     ~   ;G6                   ;  90;   0
1800;V* V1967 Cyg                       ;LP*;19 45 42.9054498912 +30 15 25.623685980;10.95    ;9.32     ;7.62     ;5.69     ;3.99     ;MIII                 ;  34;   0
1801;HD 187399                          ;SB*;19 48 41.8753472328 +29 24 08.388690624;6.92     ;7.38     ;7.12     ;6.82     ;6.66     ;B7Ia?e               ; 111;   0
1802;V* SU Cyg                          ;cC*;19 44 48.7341456312 +29 15 52.895535048;7.10     ;6.88     ;6.44     ;6.06     ;5.84     ;F2Iab:+B8.0V         ; 312;   0
1803;* 23 Vul                           ;** ;20 15 46.1431963200 +27 48 51.116016096;6.89     ;5.78     ;4.52     ;3.56     ;2.85     ;K3-IIIFe-1           ; 117;   1
1804;* 30 Vul                           ;SB*;20 44 52.5127511544 +25 16 14.267543448;7.28     ;6.10     ;4.91     ;4.06     ;3.48     ;K1III                ;  95;   0
1805;* psi Boo                          ;PM*;15 04 26.7429595776 +26 56 51.533943828;7.12     ;5.78     ;4.55     ;3.62     ;2.97     ;K2III                ; 134;   0
1806;* bet CrB                          ;a2*;15 27 49.7540595700 +29 06 20.494640434;4.08     ;3.97     ;3.68     ;3.50     ;3.45     ;F2VpSrCrEuSi         ; 703;   0
1807;HD 146946                          ;** ;16 17 45.9643316327 +31 48 15.780204455;7.490    ;7.440    ;     ~   ;6.5      ;     ~   ;F9V                  ;  67;   0
1808;HD 159222                          ;PM*;17 32 00.9920372760 +34 16 16.133732796;7.38     ;7.21     ;     ~   ;6.1      ;     ~   ;G1V                  ; 266;   0
1809;HD 166229                          ;PM*;18 08 02.2385481072 +36 24 04.556318652;     ~   ;6.65     ;     ~   ;4.8      ;     ~   ;K2III                ;  89;   0
1810;* kap Lyr                          ;*  ;18 19 51.7091048595 +36 03 52.370938421;6.70     ;5.51     ;4.34     ;3.48     ;2.93     ;K2-IIIabCN0.5        ; 150;   0
1811;* bet Lyr                          ;SB*;18 50 04.7951442356 +33 21 45.600371200;2.85     ;3.42     ;3.42     ;3.31     ;3.29     ;B8.5Ib-II            ; 955;   0
1812;HD 178911                          ;SB*;19 09 04.3519341413 +34 36 01.242009328;     ~   ;7.37     ;     ~   ;6.3      ;     ~   ;G1V+K1V              ; 142;   0
1813;HD 182488                          ;PM*;19 23 34.0131683760 +33 13 19.078425912;     ~   ;     ~   ;     ~   ;5.8      ;     ~   ;K0V                  ; 306;   1
1814;HD 184499                          ;PM*;19 33 27.0808591023 +33 12 06.719255906;7.22     ;7.22     ;6.64     ;6.14     ;5.79     ;G0V                  ; 256;   0
1815;* chi Cyg                          ;S* ;19 50 33.9213430345 +32 54 50.575531294;7.02     ;6.06     ;4.24     ;1.81     ;-0.01    ;S6-9/1-2e            ; 721;   0
1816;HD 190360                          ;PM*;20 03 37.4050868074 +29 53 48.492435887;     ~   ;6.44     ;     ~   ;5.2      ;     ~   ;G7IV-V               ; 490;   1
1817;HD 190603                          ;s*b;20 04 36.1742825304 +32 13 06.953333016;5.73     ;6.19     ;5.65     ;5.13     ;4.71     ;B1.5Ia+              ; 357;   0
1818;* 41 Cyg                           ;*  ;20 29 23.7355334165 +30 22 06.799052288;4.69     ;4.42     ;4.01     ;3.65     ;3.42     ;F5Ib-II              ; 194;   0
1819;HD 199598                          ;** ;20 57 39.6736946472 +26 24 18.579401568;     ~   ;7.52     ;     ~   ;6.6      ;     ~   ;G0V                  ;  77;   0
1820;HD 136654                          ;PM*;15 20 50.0777188584 +31 28 48.390164580;     ~   ;7.44     ;     ~   ;6.6      ;     ~   ;F5                   ;  72;   0
1821;* eta CrB                          ;** ;15 23 12.30535 +30 17 16.1701          ;5.60     ;5.56     ;4.98     ;4.50     ;4.22     ;G2V+G2V              ; 198;   0
1822;* tet CrB                          ;Be*;15 32 55.78214 +31 21 32.8762          ;3.45     ;4.00     ;4.13     ;4.18     ;4.29     ;B6Vnne               ; 297;   0
1823;* rho CrB                          ;PM*;16 01 02.6604891411 +33 18 12.639472357;     ~   ;6.01     ;     ~   ;5.0      ;     ~   ;G0+VaFe-1            ; 687;   1
1824;* pi. Her                          ;*  ;17 15 02.8342463677 +36 48 32.981576254;6.28     ;4.61     ;3.18     ;2.22     ;1.49     ;K3II                 ; 256;   0
1825;* e Her                            ;PM*;17 17 40.2531980520 +37 17 29.422635288;4.67     ;4.70     ;4.65     ;4.56     ;4.56     ;A2V                  ; 100;   0
1826;* tet Her                          ;*  ;17 56 15.1809747319 +37 15 01.932000161;6.70     ;5.23     ;3.88     ;2.98     ;2.38     ;K1IIaCN2             ; 226;   0
1827;HD 166620                          ;PM*;18 09 37.4162111401 +38 27 27.998016381;7.86     ;7.27     ;6.40     ;5.63     ;5.14     ;K2V                  ; 481;   0
1828;* zet01 Lyr                        ;SB*;18 44 46.3570814856 +37 36 18.437952174;4.71     ;4.55     ;4.36     ;4.21     ;4.13     ;kA5hF0VmF3           ; 203;   0
1829;* alf Lyr                          ;dS*;18 36 56.33635 +38 47 01.2802          ;0.03     ;0.03     ;0.03     ;0.07     ;0.10     ;A0V                  ;2791;   1
1830;HD 174912                          ;PM*;18 51 25.1792851207 +38 37 35.654019974;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;F8                   ; 132;   0
1831;* del02 Lyr                        ;LP*;18 54 30.2826884969 +36 53 55.031674618;7.62     ;5.97     ;4.30     ;2.52     ;0.89     ;M4II                 ; 251;   0
1832;HD 181655                          ;SB*;19 19 38.9987446752 +37 19 49.946142576;7.20     ;6.99     ;     ~   ;5.8      ;     ~   ;G5V                  ; 133;   0
1833;* 17 Cyg                           ;PM*;19 46 25.6000487071 +33 43 39.353533637;     ~   ;5.46     ;     ~   ;4.7      ;     ~   ;F5.5IV-V             ; 290;   0
1834;* eta Cyg                          ;*  ;19 56 18.3718373206 +35 05 00.322387793;5.800    ;4.910    ;3.880    ;3.19     ;2.66     ;K0III                ; 289;   0
1835;* 39 Cyg                           ;SB*;20 23 51.6137972268 +32 11 24.481643174;7.27     ;5.77     ;4.44     ;3.43     ;2.76     ;K2.5IIIFe-0.5        ; 147;   0
1836;* 52 Cyg                           ;*  ;20 45 39.7531133582 +30 43 10.972342474;6.16     ;5.29     ;4.23     ;3.46     ;2.93     ;K0IIIa               ; 130;   0
1837;* del Boo                          ;PM*;15 15 30.1628200572 +33 18 53.392471806;5.12     ;4.44     ;3.49     ;2.76     ;2.25     ;G8IIIFe-1            ; 388;   0
1838;* kap CrB                          ;PM*;15 51 13.9312943632 +35 39 26.573691158;6.69     ;5.82     ;4.82     ;4.06     ;3.57     ;K1IVa                ; 291;   1
1839;* tau CrB                          ;PM*;16 08 58.3089242491 +36 29 27.134047440;6.64     ;5.75     ;4.73     ;4.01     ;3.47     ;K1-III-IV            ; 195;   0
1840;* eta Her                          ;PM*;16 42 53.7649454572 +38 55 20.117710727;5.03     ;4.42     ;3.50     ;2.83     ;2.35     ;G7IIIFe-1            ; 296;   0
1841;HD 168322                          ;SB*;18 17 06.8326426128 +40 56 12.266189448;     ~   ;     ~   ;     ~   ;5.5      ;     ~   ;G8.5IIIbCH0.5Fe-1    ; 110;   0
1842;V* XY Lyr                          ;LP*;18 38 06.4762596528 +39 40 05.975752044;9.09     ;7.67     ;6.05     ;3.84     ;1.88     ;M4.5-M5+II           ; 131;   0
1843;* tet Lyr                          ;*  ;19 16 22.0933692526 +38 08 01.471362063;6.87     ;5.64     ;4.38     ;3.51     ;2.93     ;K0II                 ; 201;   0
1844;* b03 Cyg                          ;dS*;20 14 32.0323540824 +36 48 22.700909124;5.10     ;5.11     ;4.99     ;4.79     ;4.72     ;A2V                  ; 284;   0
1845;* b01 Cyg                          ;RS*;20 06 21.7672972921 +35 58 20.889117643;     ~   ;6.21     ;     ~   ;4.8      ;     ~   ;G8.5IVa              ; 191;   0
1846;BD+35 4077                         ;s*r;20 21 14.0683222872 +35 37 16.559940720;14.72    ;12.65    ;9.72     ;6.83     ;4.65     ;M2.5I                ;  52;   0
1847;* eps Cyg                          ;** ;20 46 12.6722768426 +33 58 13.182037125;4.370    ;3.520    ;2.480    ;1.73     ;1.19     ;K0III                ; 519;   0
1848;HD 135891                          ;SB*;15 16 21.3732061440 +37 04 10.213565088;7.750    ;7.700    ;     ~   ;6.7      ;     ~   ;F8                   ;  43;   0
1849;* mu.01 Boo                        ;** ;15 24 29.4314684952 +37 22 37.761321648;     ~   ;     ~   ;     ~   ;4.1      ;     ~   ;F0IV                 ; 204;   0
1850;HD 144579                          ;PM*;16 04 56.7936202756 +39 09 23.434584550;7.60     ;7.40     ;6.67     ;6.04     ;5.63     ;G8V                  ; 300;   0
1851;HD 145435                          ;PM*;16 09 17.4893874144 +41 05 42.722282652;7.250    ;7.230    ;     ~   ;6.4      ;     ~   ;F5                   ;  65;   0
1852;* g Her                            ;AB*;16 28 38.5495839988 +41 52 54.044914927;7.70     ;6.53     ;5.01     ;2.49     ;0.26     ;M6-III               ; 390;   0
1853;* sig Her                          ;** ;16 34 06.1824264648 +42 26 13.234150680;     ~   ;4.177    ;4.196    ;6.02     ;     ~   ;B9V                  ; 202;   0
1854;HD 152792                          ;PM*;16 53 32.3286092107 +42 49 29.476480157;     ~   ;7.46     ;     ~   ;6.4      ;     ~   ;G0V                  ; 151;   0
1855;HD 155921                          ;PM*;17 12 22.9399786536 +43 44 14.111740068;8.050    ;7.900    ;     ~   ;6.8      ;     ~   ;G5                   ;  39;   0
1856;HD 156074                          ;C* ;17 13 31.2405544440 +42 06 22.768253820;9.67     ;8.75     ;7.61     ;6.89     ;6.42     ;C-R2III              ; 134;   0
1857;* 13 Lyr                           ;LP*;18 55 20.1023376286 +43 56 45.922489780;7.00     ;5.59     ;4.00     ;1.95     ;0.04     ;M4.5III              ; 324;   1
1858;V* V973 Cyg                        ;LP*;19 44 49.0396867488 +40 43 00.495132456;9.90     ;7.99     ;6.37     ;4.78     ;     ~   ;M3.5III              ;  73;   0
1859;HD 190771                          ;PM*;20 05 09.7757965056 +38 28 42.555790200;     ~   ;6.82     ;     ~   ;5.8      ;     ~   ;G2V                  ; 197;   0
1860;HD 192422                          ;s*b;20 13 22.4819705328 +38 45 55.513574424;7.13     ;7.61     ;7.10     ;6.62     ;6.25     ;B0.5Ib               ;  95;   0
1861;V* RS Cyg                          ;C* ;20 13 23.6616874008 +38 43 44.470030872;13.26    ;9.36     ;6.50     ;4.38     ;2.82     ;C-N5.5               ; 187;   0
1862;* P Cyg                            ;s*b;20 17 47.2019733389 +38 01 58.549132671;4.66     ;5.24     ;4.82     ;4.28     ;4.02     ;B1-2Ia-0ep           ;1201;   1
