C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
1580;HD 180928                          ;PM*;19 19 00.0959552544 -15 32 11.647331124;-89.975 -281.170    ;5.9974    ;-17.8      ;-0.000059   ;-17.80     ;9.06     ;7.49     ;6.06     ;4.94     ;4.11     ;K4III                
1581;V* V1942 Sgr                       ;C* ;19 19 09.5936050560 -15 54 30.030582960;   9.354 -5.025     ;1.5759    ;-45.10     ;-0.000150   ;-45.10     ;13.53    ;9.20     ;6.86     ;5.05     ;3.67     ;C-N5+                
1582;* alf01 Cap                        ;** ;20 17 38.8691281056 -12 30 29.563869708;   21.709 1.643     ;4.0157    ;-25.79     ;-0.000086   ;-25.79     ;6.14     ;5.34     ;4.27     ;3.49     ;2.94     ;G3Ib                 
1583;* alf02 Cap                        ;PM*;20 18 03.2555957142 -12 32 41.467632703;   61.212 2.412     ;29.9140   ;0.70       ;0.000002    ;0.70       ;5.20     ;4.51     ;3.58     ;2.91     ;2.42     ;G9III                
1584;* nu. Cap                          ;*  ;20 20 39.8157949497 -12 45 32.690284207; 14.130 -15.123     ;12.1737   ;-1.74      ;-0.000006   ;-1.74      ;4.61     ;4.72     ;4.76     ;4.75     ;4.81     ;B9IV                 
1585;* del Lib                          ;SB*;15 00 58.3483018872 -08 31 08.210408772; -63.051 -6.024     ;9.2824    ;-38.7      ;-0.000129   ;-38.70     ;4.82     ;4.93     ;4.93     ;4.85     ;4.84     ;A0V                  
1586;* bet Lib                          ;PM*;15 17 00.41382 -09 22 58.4919          ;  -98.10 -19.65     ;17.62     ;-35.60     ;-0.000119   ;-35.60     ;2.14     ;2.51     ;2.62     ;2.67     ;2.76     ;B8Vn                 
1587;HD 137763                          ;SB*;15 28 09.6181427563 -09 20 52.759792118;73.584 -375.345     ;51.1421   ;6.82       ;0.000023    ;6.82       ;8.163    ;7.704    ;6.883    ;6.425    ;6.009    ;G9V                  
1588;HD 138764                          ;Pu*;15 34 26.5142062512 -09 11 00.380211288;-30.317 -25.653     ;8.4891    ;-6.90      ;-0.000023   ;-6.90      ;4.63     ;5.08     ;5.17     ;5.21     ;5.33     ;B5V                  
1589;* 37 Lib                           ;PM*;15 34 10.7024841438 -10 03 52.317750492;307.347 -234.595    ;34.3608   ;48.892     ;0.000163    ;48.90      ;6.48     ;5.63     ;4.62     ;3.85     ;3.33     ;K1III-IV             
1590;HD 140283                          ;Pe*;15 43 03.0971190219 -10 56 00.595693188;-1115.141 -303.573  ;16.2672   ;-170.101   ;-0.000567   ;-170.05    ;7.508    ;7.711    ;7.212    ;6.63     ;8.21     ;F9VkA5mA1            
1591;* ksi Sco C                        ;PM*;16 04 22.5171439152 -11 22 17.888891052;-75.048 -11.957     ;35.8528   ;-31.5      ;-0.000105   ;-31.50     ;     ~   ;     ~   ;     ~   ;6.74     ;8.40     ;G1V                  
1592;* zet Oph                          ;Be*;16 37 09.5400587698 -10 34 01.509742704;  10.465 24.742     ;7.4088    ;-9.00      ;-0.000030   ;-9.00      ;1.73     ;2.58     ;2.56     ;2.46     ;2.50     ;O9.2IVnn             
1593;HD 167971                          ;s*b;18 18 05.8947362832 -12 14 33.313601112;   0.206 -1.979     ;0.7273    ;14.20      ;0.000047    ;14.20      ;7.89     ;8.27     ;7.50     ;6.68     ;6.279    ;O8Iaf(n)+O4/5        
1594;HD 169454                          ;s*b;18 25 15.1937863728 -13 58 42.309359544;   2.079 -4.652     ;0.4911    ;-25.2      ;-0.000084   ;-25.20     ;7.39     ;7.61     ;6.71     ;5.82     ;5.13     ;B1Ia+                
1595;HD 182040                          ;Pe*;19 23 10.0773440616 -10 42 11.536959456;    6.933 2.377     ;1.0956    ;-44.958199 ;-0.000150   ;-44.95     ;8.77     ;8.14     ;7.05     ;6.25     ;5.80     ;C-Hd2II:             
1596;* eps Aqr                          ;*  ;20 47 40.5495728200 -09 29 44.796936843; 33.923 -34.936     ;13.3619   ;-19.82     ;-0.000066   ;-19.82     ;3.79     ;3.77     ;3.77     ;3.70     ;3.70     ;B9.5V                
1597;* nu. Oph                          ;PM*;17 59 01.5922136612 -09 46 25.080976810;-7.707 -116.380     ;22.9031   ;13.19      ;0.000044    ;13.19      ;5.20     ;4.33     ;3.34     ;2.64     ;2.16     ;G9IIIa               
1598;* mu. Oph                          ;*  ;17 37 50.7131595894 -08 07 07.578293771;-10.749 -21.285     ;5.0056    ;-19.89     ;-0.000066   ;-19.89     ;4.53     ;4.73     ;4.62     ;4.44     ;4.33     ;B8II((Mn))           
1599;HD 161056                          ;*  ;17 43 47.0221609752 -07 04 46.594311996; -4.629 -10.512     ;2.4404    ;-26.00     ;-0.000087   ;-26.00     ;6.26     ;6.68     ;6.32     ;5.94     ;5.67     ;B3II/III             
1600;* alf Sct                          ;PM*;18 35 12.4271571798 -08 14 38.653839451;-18.006 -313.989    ;17.6952   ;36.50      ;0.000122    ;36.50      ;6.70     ;5.17     ;3.83     ;2.86     ;2.18     ;K3III                
1601;V* R Sct                           ;RV*;18 47 28.9498974024 -05 42 18.542611800;-44.400 -32.212     ;2.5351    ;34.38      ;0.000115    ;34.38      ;8.30     ;6.67     ;5.20     ;4.14     ;3.37     ;K4/5pec              
1602;* i Aql                            ;*  ;19 01 40.8288708444 -05 44 20.722217278;-22.592 -43.080     ;21.5669   ;-43.92     ;-0.000146   ;-43.92     ;6.15     ;5.11     ;4.02     ;3.23     ;2.69     ;K1III                
1603;* kap Aql                          ;*  ;19 36 53.4488871022 -07 01 38.924816492;   0.974 -3.241     ;1.9758    ;-19.40     ;-0.000065   ;-19.40     ;4.050    ;4.930    ;4.960    ;4.90     ;4.94     ;B0.5IIIn             
1604;* k Aqr                            ;LP*;20 47 44.2384708427 -05 01 39.724131922;  0.423 -40.204     ;6.4691    ;-22.00     ;-0.000073   ;-22.00     ;8.04     ;6.11     ;4.44     ;2.97     ;1.66     ;M3III                
1605;* mu. Ser                          ;** ;15 49 37.20696 -03 25 48.7358          ; -100.28 -25.99     ;19.23     ;-9.4       ;-0.000031   ;-9.40      ;3.39     ;3.49     ;3.53     ;3.54     ;3.59     ;B9.5III              
1606;* del Oph                          ;PM*;16 14 20.7390218758 -03 41 39.572826363;-45.340 -144.433    ;20.4113   ;-18.784100 ;-0.000063   ;-18.78     ;6.30     ;4.34     ;2.75     ;1.46     ;0.43     ;M0.5III              
1607;* eps Oph                          ;PM*;16 18 19.2902245358 -04 41 33.047349888;  83.916 40.763     ;30.5136   ;-9.342     ;-0.000031   ;-9.34      ;4.95     ;4.21     ;3.23     ;2.54     ;2.05     ;G9.5IIIbFe-0.5       
1608;HD 150433                          ;PM*;16 41 08.2146248318 -02 51 26.201633303;-26.659 -444.740    ;32.9211   ;-40.184    ;-0.000134   ;-40.18     ;     ~   ;7.861    ;7.22     ;6.80     ;8.70     ;G5V                  
1609;HD 154363                          ;PM*;17 05 03.3944309308 -05 03 59.438943094;-916.343 -1138.762  ;95.5670   ;34.035     ;0.000114    ;34.04      ;9.945    ;8.881    ;7.709    ;6.985    ;6.364    ;K4/5V                
1610;* 47 Oph                           ;SB*;17 26 37.8815658414 -05 05 11.754469183;-93.066 -43.198     ;30.9863   ;0.4        ;0.000001    ;0.40       ;4.90     ;4.93     ;4.54     ;4.16     ;3.95     ;F3V                  
1611;* eta Ser                          ;PM*;18 21 18.6004923875 -02 53 55.780691633;-548.903 -700.854   ;52.4413   ;9.380      ;0.000031    ;9.38       ;4.84     ;4.19     ;3.25     ;2.55     ;2.05     ;K0III-IV             
1612;* bet Sct                          ;SB*;18 47 10.4742156840 -04 44 52.342960488; -7.972 -16.398     ;4.8549    ;-21.30     ;-0.000071   ;-21.30     ;6.15     ;5.31     ;4.22     ;3.43     ;2.86     ;G4IIa                
1613;* lam Aql                          ;PM*;19 06 14.9386542192 -04 52 57.225885348;-19.120 -89.427     ;25.6409   ;-8.80      ;-0.000029   ;-8.80      ;3.07     ;3.34     ;3.43     ;3.46     ;3.55     ;B8.5V                
1614;HD 146116                          ;*  ;16 14 38.3963169528 -00 23 55.500437616;  11.235 -8.303     ;1.9163    ;31.93      ;0.000107    ;31.93      ;9.65     ;8.75     ;7.68     ;6.83     ;6.20     ;G7IIICH-2Hdel-0.5    
1615;* 12 Oph                           ;BY*;16 36 21.4496896968 -02 19 28.513024233;456.058 -309.224    ;101.0719  ;-12.812    ;-0.000043   ;-12.81     ;7.00     ;6.55     ;5.77     ;5.13     ;4.74     ;K1V                  
1616;HD 154445                          ;*  ;17 05 32.2587926880 -00 53 31.437713328;   3.089 -0.533     ;4.0229    ;16.0       ;0.000053    ;16.00      ;5.10     ;5.73     ;5.61     ;5.39     ;5.34     ;B1V                  
1617;* 41 Oph                           ;** ;17 16 36.6861216432 -00 26 43.091198808;-31.241 -57.178     ;15.9182   ;-0.35      ;-0.000001   ;-0.35      ;     ~   ;     ~   ;     ~   ;6.27     ;     ~   ;K2III                
1618;* iot Aql                          ;*  ;19 36 43.2777028800 -01 17 11.758614396; -1.426 -21.644     ;5.6673    ;-21.34     ;-0.000071   ;-21.34     ;3.84     ;4.28     ;4.36     ;4.34     ;4.42     ;B5III                
1619;* tet Aql                          ;SB*;20 11 18.2866917111 -00 49 17.268937491;   35.582 4.596     ;14.2687   ;-28.02     ;-0.000093   ;-28.02     ;3.03     ;3.15     ;3.22     ;3.29     ;3.33     ;B9.5III              
1620;* l Aql                            ;SB*;20 38 20.2844885280 -01 06 18.422101548; 18.766 -19.647     ;11.43     ;-1.770410  ;-0.000006   ;-1.77      ;5.98     ;5.29     ;4.33     ;3.66     ;3.20     ;G7.5IIIa             
1621;* 5 Ser                            ;PM*;15 19 18.7974409923 +01 45 55.466382064;372.216 -513.483    ;39.7954   ;54.429     ;0.000182    ;54.43      ;     ~   ;5.60     ;     ~   ;4.8      ;     ~   ;F8IV                 
1622;HD 135599                          ;BY*;15 15 59.1668432664 +00 47 46.900249728;178.098 -137.155    ;63.2139   ;-3.075     ;-0.000010   ;-3.07      ;8.215    ;7.748    ;6.905    ;6.438    ;6.028    ;K0V                  
1623;HD 141272                          ;BY*;15 48 09.4631912304 +01 34 18.266587824;-176.036 -166.105   ;46.1575   ;-26.361    ;-0.000088   ;-26.36     ;8.65     ;8.242    ;7.422    ;6.973    ;6.565    ;K0V                  
1624;HD 149806                          ;PM*;16 37 08.4279836712 +00 15 15.625491444;  93.385 78.717     ;49.2036   ;10.43      ;0.000035    ;10.43      ;8.451    ;7.916    ;7.065    ;6.604    ;8.71     ;K0V                  
1625;V* V2213 Oph                       ;BY*;17 05 16.8186610814 +00 42 09.221511649;-17.059 -334.401    ;48.5672   ;-16.748    ;-0.000056   ;-16.75     ;     ~   ;6.59     ;     ~   ;5.6      ;     ~   ;F8.5IV-V             
1626;HD 156208                          ;EB?;17 16 14.2604265768 +02 11 10.330286712; 11.307 -17.156     ;4.6496    ;4.00       ;0.000013    ;4.00       ;6.57     ;6.41     ;6.18     ;5.98     ;     ~   ;A1IV                 
1627;HD 157881                          ;PM*;17 25 45.2324302566 +02 06 41.123732402;-580.325 -1184.737  ;129.6459  ;-23.523    ;-0.000078   ;-23.52     ;10.126   ;8.865    ;7.56     ;6.649    ;5.89     ;K7V                  
1628;HD 157089                          ;PM*;17 21 07.0564477831 +01 26 34.983929347;-164.279 269.644    ;25.2459   ;-162.060   ;-0.000540   ;-162.02    ;7.60     ;7.59     ;7.01     ;6.46     ;6.14     ;F8VgF8mF6            
1629;* gam Oph                          ;PM*;17 47 53.5605898827 +02 42 26.204838837;-23.936 -74.462     ;33.6174   ;-12.31     ;-0.000041   ;-12.31     ;3.83     ;3.80     ;3.75     ;3.71     ;3.71     ;A1VnkA0mA0           
1630;* 70 Oph A                         ;SB*;18 05 27.2484131991 +02 30 00.526614953;206.525 -1107.492   ;195.5674  ;-9.73      ;-0.000032   ;-9.73      ;     ~   ;     ~   ;     ~   ;3.6      ;     ~   ;K0V                  
1631;* 70 Oph B                         ;PM*;18 05 27.4629361936 +02 29 56.209188639;333.292 -1068.354   ;195.8563  ;-10.0      ;-0.000033   ;-10.00     ;     ~   ;7.26     ;6.07     ;5.6      ;     ~   ;K4V                  
1632;* 70 Oph                           ;SB*;18 05 27.28518 +02 30 00.3558          ; 124.16 -962.82     ;196.72    ;-5.800     ;-0.000019   ;-5.80      ;5.40     ;4.89     ;4.03     ;3.38     ;2.92     ;K0-V                 
1633;* d Ser B                          ;*  ;18 27 12.3469209624 +00 11 48.862900860;  -0.130 -6.914     ;4.7388    ;-22.2      ;-0.000074   ;-22.20     ;     ~   ;     ~   ;     ~   ;6.601    ;     ~   ;F5V                  
1634;V* UW Aql                          ;s*r;18 57 33.5567317752 +00 27 19.890439128;  -1.192 -3.274     ;0.3078    ;27.83      ;0.000093    ;27.83      ;13.50    ;11.37    ;8.80     ;6.42     ;4.59     ;M2+Iab               
1635;HD 176650                          ;PM*;19 01 11.4260304720 +02 28 56.350256340;16.789 -234.093     ;8.247     ;35.054798  ;0.000117    ;35.06      ;     ~   ;8.10     ;     ~   ;6.4      ;     ~   ;K1III                
1636;* nu. Aql                          ;*  ;19 26 31.0892580000 +00 20 18.854897820;  -0.562 -2.294     ;0.8752    ;-0.054     ;-0.000000   ;-0.05      ;5.71     ;5.31     ;4.72     ;4.21     ;3.77     ;F2Ib                 
1637;HD 187003                          ;SB*;19 47 33.3206620800 +01 05 19.993932528;-28.697 -226.867    ;21.3727   ;13.94      ;0.000046    ;13.94      ;     ~   ;7.39     ;     ~   ;6.4      ;     ~   ;G2/3V                
1638;HD 199381                          ;PM*;20 56 47.4508992648 +01 42 54.656177292;-2.855 -203.240     ;13.322    ;49.43      ;0.000165    ;49.43      ;     ~   ;     ~   ;     ~   ;6.3      ;     ~   ;K0III                
1639;* 110 Vir                          ;PM*;15 02 54.0375635908 +02 05 28.695699730; -55.569 13.628     ;16.7474   ;-15.92     ;-0.000053   ;-15.92     ;6.31     ;5.44     ;4.40     ;3.59     ;3.05     ;K0+IIIbFe-0.5        
1640;* psi Ser                          ;PM*;15 44 01.8185683752 +02 30 54.600593940;-42.431 -136.845    ;67.6007   ;19.072     ;0.000064    ;19.07      ;     ~   ;     ~   ;     ~   ;5.4      ;     ~   ;G2.5V                
1641;HD 148816                          ;PM*;16 30 28.4586254384 +04 10 41.602836534;-435.529 -1393.180  ;23.4482   ;-47.693    ;-0.000159   ;-47.69     ;7.75     ;7.81     ;7.28     ;6.82     ;6.49     ;F7V                  
1642;HD 154931                          ;PM*;17 08 21.4135278528 +04 25 28.170498036;-52.042 -202.803    ;18.0166   ;-18.631    ;-0.000062   ;-18.63     ;     ~   ;7.87     ;     ~   ;6.9      ;     ~   ;G0V                  
1643;* sig Oph                          ;*  ;17 26 30.8807335272 +04 08 25.293765444;    1.459 6.760     ;3.7578    ;-27.259    ;-0.000091   ;-27.26     ;7.39     ;5.82     ;4.31     ;3.22     ;2.46     ;K2II                 
1644;HD 160346                          ;SB*;17 39 16.9163262 +03 33 18.875718      ; -179.30 -96.60     ;90.91     ;5.694      ;0.000019    ;5.69       ;     ~   ;7.496    ;6.525    ;5.9      ;     ~   ;K3-V                 
1645;* bet Oph                          ;PM*;17 43 28.3519097803 +04 34 02.293206489;-41.793 159.430     ;39.2284   ;-12.120    ;-0.000040   ;-12.12     ;5.150    ;3.930    ;2.750    ;1.96     ;1.38     ;K2IIICN0.5           
1646;* 66 Oph                           ;Be*;18 00 15.7957050537 +04 22 07.122326765;  4.735 -13.362     ;4.9043    ;-12.80     ;-0.000043   ;-12.80     ;3.77     ;4.58     ;4.60     ;4.47     ;4.49     ;B2Ve                 
1647;* 67 Oph                           ;s*b;18 00 38.7157893000 +02 55 53.633402904;   0.935 -8.772     ;1.3731    ;-92.25     ;-0.000308   ;-92.24     ;3.34     ;3.96     ;3.93     ;3.84     ;3.81     ;B4Ib-II              
1648;HD 165401                          ;PM*;18 05 37.4541846601 +04 39 25.797083469;-13.754 -319.047    ;41.4741   ;-118.867   ;-0.000396   ;-118.84    ;7.443    ;7.399    ;6.786    ;6.432    ;6.09     ;G2V                  
1649;V* V2564 Oph                       ;LP?;18 04 40.0713763656 +03 46 44.716990584;-29.212 -83.137     ;1.4649    ;0.42       ;0.000001    ;0.42       ;9.53     ;8.59     ;7.30     ;6.24     ;5.43     ;F6/7V                
1650;HD 166285                          ;SB*;18 09 54.0136912416 +03 07 11.383329216;14.001 -192.887     ;21.6942   ;-14.12     ;-0.000047   ;-14.12     ;     ~   ;     ~   ;     ~   ;5.93     ;     ~   ;F6V                  
1651;* del Aql                          ;** ;19 25 29.90139 +03 06 53.2061          ;   254.54 82.51     ;64.41     ;-36.59     ;-0.000122   ;-36.59     ;3.72     ;3.68     ;3.36     ;3.11     ;2.95     ;F1IV-V(n)            
1652;HD 190007                          ;BY*;20 02 47.0456863896 +03 19 34.265904204;-90.383 119.430     ;78.6465   ;-30.268    ;-0.000101   ;-30.27     ;     ~   ;8.60     ;     ~   ;6.8      ;     ~   ;K5V                  
1653;* alf Ser                          ;PM*;15 44 16.0741095811 +06 25 32.268792881; 133.922 45.550     ;43.9450   ;2.63       ;0.000009    ;2.63       ;5.080    ;3.800    ;2.630    ;1.82     ;1.25     ;K2IIIbCN1            
1654;HD 140775                          ;V*?;15 45 23.4787023144 +05 26 50.350020468;  23.667 -6.653     ;9.5642    ;-13.44     ;-0.000045   ;-13.44     ;5.65     ;5.62     ;5.58     ;5.54     ;5.55     ;A0V                  
1655;HD 145148                          ;PM*;16 09 11.2150771435 +06 22 43.289900623;254.403 -735.600    ;33.7343   ;-3.372870  ;-0.000011   ;-3.37      ;     ~   ;6.97     ;     ~   ;5.3      ;     ~   ;K1.5IV               
1656;* 41 Her                           ;PM*;16 44 59.9853078676 +06 05 17.363774415;-213.497 -257.504   ;22.7816   ;-6.469530  ;-0.000022   ;-6.47      ;     ~   ;7.46     ;     ~   ;6.0      ;     ~   ;G8                   
1657;HD 157978                          ;SB*;17 26 19.0063847712 +07 35 44.305905732;   0.946 -5.296     ;2.9748    ;-12.10     ;-0.000040   ;-12.10     ;6.91     ;6.64     ;6.04     ;5.43     ;5.00     ;A1IVs+A2Vs+G0III     
1658;* mu. Aql                          ;PM*;19 34 05.3529921054 +07 22 44.184329526;213.280 -156.953    ;29.4091   ;-24.472    ;-0.000082   ;-24.47     ;6.87     ;5.63     ;4.45     ;3.55     ;2.94     ;K3-IIIbFe0.5         
1659;* bet Aql                          ;PM*;19 55 18.7928429719 +06 24 24.351242346;45.944 -480.965     ;73.5249   ;-40.066    ;-0.000134   ;-40.06     ;5.040    ;4.560    ;3.710    ;3.05     ;2.56     ;G8IV                 
1660;* eps Equ C                        ;PM*;20 59 05.1080210904 +04 17 40.661305548;-115.487 -143.202   ;18.1682   ;8.78       ;0.000029    ;8.78       ;     ~   ;7.83     ;     ~   ;6.7      ;     ~   ;F4V                  
1661;* eps Equ                          ;** ;20 59 04.47539 +04 17 36.5211          ;-115.75 -151.70     ;18.49     ;8.20       ;0.000027    ;8.20       ;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;F5(V)+F6(V)          
1662;* lam Ser                          ;PM*;15 46 26.6142121632 +07 21 11.047378824;-223.952 -69.763    ;83.9214   ;-66.395    ;-0.000221   ;-66.39     ;5.13     ;5.03     ;4.42     ;3.92     ;3.60     ;G0-V                 
1663;* kap Oph                          ;LP?;16 57 40.0975028128 +09 22 30.104472450;-292.638 -9.948     ;37.1125   ;-55.821    ;-0.000186   ;-55.82     ;5.52     ;4.36     ;3.20     ;2.36     ;1.82     ;K2III                
1664;HD 157258                          ;*  ;17 21 50.5201672320 +09 44 09.307702176; -7.124 -12.948     ;3.4198    ;-8.67      ;-0.000029   ;-8.67      ;8.981    ;8.20     ;7.17     ;6.607    ;6.107    ;K0                   
1665;V* V2388 Oph                       ;SB*;17 54 14.1665728728 +11 07 49.770939000;-56.181 -157.175    ;11.4701   ;-25.88     ;-0.000086   ;-25.88     ;     ~   ;6.72     ;     ~   ;6.0      ;     ~   ;F5Vn                 
1666;* 72 Oph                           ;PM*;18 07 20.9848472070 +09 33 49.848215907; -61.804 79.004     ;38.1263   ;-23.90     ;-0.000080   ;-23.90     ;3.95     ;3.85     ;3.73     ;3.59     ;3.54     ;A5V                  
1667;* alf Aql                          ;dS*;19 50 46.99855 +08 52 05.9563          ;  536.23 385.29     ;194.95    ;-26.60     ;-0.000089   ;-26.60     ;1.07     ;0.98     ;0.76     ;0.62     ;0.49     ;A7Vn                 
1668;HD 132756                          ;SB*;15 00 34.9952539156 +08 36 00.625382008;-108.221 -318.728   ;26.2551   ;7.82       ;0.000026    ;7.82       ;     ~   ;8.01     ;     ~   ;6.8      ;     ~   ;G0                   
1669;HD 134871                          ;PM*;15 11 54.0818068320 +09 46 36.826053240;-156.751 -40.513    ;6.26      ;-48.101    ;-0.000160   ;-48.10     ;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;K0                   
1670;HD 138573                          ;PM*;15 32 43.6531189128 +10 58 05.877132528; -5.880 158.609     ;33.1373   ;-35.662    ;-0.000119   ;-35.66     ;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G5IV-V               
1671;HD 139457                          ;PM*;15 37 59.2141510302 +10 14 23.558789926;129.657 -358.767    ;21.1307   ;37.554     ;0.000125    ;37.56      ;7.580    ;7.620    ;     ~   ;6.8      ;     ~   ;F6                   
1672;* h Her                            ;PM*;16 32 36.2919789280 +11 29 16.948144457;-178.695 -79.223    ;8.9523    ;2.92       ;0.000010    ;2.92       ;8.16     ;6.34     ;4.85     ;3.65     ;2.79     ;K4.5III              
1673;* alf Oph                          ;** ;17 34 56.06945 +12 33 36.1346          ; 108.07 -221.57     ;67.13     ;11.70      ;0.000039    ;11.70      ;2.32     ;2.22     ;2.07     ;1.93     ;1.85     ;A5IVnn               
1674;HD 171067                          ;PM*;18 32 10.4642524248 +13 44 11.632215084;112.616 122.562     ;38.3448   ;-46.222    ;-0.000154   ;-46.22     ;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G6V                  
1675;* b Aql                            ;PM*;19 24 58.1999714302 +11 56 39.888480530;721.292 642.968     ;67.0153   ;-100.212   ;-0.000334   ;-100.20    ;6.35     ;5.93     ;     ~   ;4.7      ;     ~   ;G7IVHdel1            
1676;* pi. Aql                          ;** ;19 48 42.0576531 +11 48 57.217672      ;   16.16 -10.60     ;6.34      ;12.6       ;0.000042    ;12.60      ;6.520    ;6.230    ;5.740    ;6.58     ;     ~   ;G8III+A3V            
1677;HD 187923                          ;PM*;19 52 03.4383778549 +11 37 41.972274281;-344.042 -334.600   ;37.0027   ;-20.574    ;-0.000069   ;-20.57     ;     ~   ;6.78     ;     ~   ;5.8      ;     ~   ;G0V                  
1678;* omi Aql                          ;PM*;19 51 01.6436960928 +10 24 56.592457524;241.713 -136.695    ;51.3133   ;0.036      ;0.000000    ;0.04       ;     ~   ;5.66     ;     ~   ;4.8      ;     ~   ;F8V                  
1679;HD 187961                          ;Be*;19 52 15.5807133429 +10 21 05.729530544; -1.354 -12.397     ;2.0435    ;-12.6      ;-0.000042   ;-12.60     ;6.13     ;6.47     ;6.510    ;6.75     ;     ~   ;B7V                  
1680;* gam Aql                          ;*  ;19 46 15.5789542266 +10 36 47.731401477;  16.233 -1.354     ;5.5899    ;-2.693     ;-0.000009   ;-2.69      ;5.93     ;4.23     ;2.72     ;1.65     ;0.87     ;K3II                 
1681;* kap Del                          ;PM*;20 39 07.7867477765 +10 05 10.291671448; 317.681 32.566     ;33.3213   ;-53.697    ;-0.000179   ;-53.69     ;     ~   ;5.77     ;     ~   ;4.6      ;     ~   ;G2IV                 
1682;* chi Ser                          ;a2*;15 41 47.4147355608 +12 50 51.093705840;  39.045 -2.923     ;14.7221   ;1.90       ;0.000006    ;1.90       ;5.42     ;5.37     ;5.33     ;5.28     ;5.32     ;A2VpMnEu(Sr)         
1683;* 39 Ser                           ;SB*;15 53 12.0971773368 +13 11 47.854440914;-150.618 -561.240   ;56.2405   ;39.88      ;0.000133    ;39.88      ;6.72     ;6.71     ;6.12     ;5.58     ;5.23     ;G1VFe-1              
1684;* ome Her                          ;a2*;16 25 24.9546742056 +14 01 59.762072676; 38.682 -59.551     ;13.1034   ;-5.90      ;-0.000020   ;-5.90      ;4.53     ;4.57     ;4.58     ;4.51     ;4.55     ;A2VpCrSr             
1685;* 32 Oph                           ;PM*;17 03 07.8711020736 +14 05 31.013994084; 25.226 -62.651     ;8.0197    ;43.15      ;0.000144    ;43.15      ;8.51     ;6.58     ;4.98     ;3.54     ;2.33     ;M3-III               
1686;HD 154160                          ;PM*;17 03 10.4447610504 +14 30 40.826805624;-165.218 -177.543   ;27.4442   ;-52.816    ;-0.000176   ;-52.81     ;7.750    ;7.300    ;     ~   ;6.1      ;     ~   ;G5IV:                
1687;* 93 Her                           ;*  ;18 00 03.4165173504 +16 45 03.304594368; -7.269 -10.923     ;4.3043    ;-24.47     ;-0.000082   ;-24.47     ;7.15     ;5.93     ;4.67     ;3.80     ;3.21     ;K0.5IIb              
1688;* eps Aql                          ;SB*;18 59 37.3563787320 +15 04 05.811749256;-51.062 -69.439     ;18.1821   ;-45.90     ;-0.000153   ;-45.90     ;6.14     ;5.10     ;4.02     ;3.26     ;2.74     ;K1-IIICN0.5          
1689;HD 177082                          ;PM*;19 02 38.0487468432 +14 34 01.298577684; 176.617 -5.782     ;34.6916   ;-1.95      ;-0.000007   ;-1.95      ;     ~   ;7.50     ;     ~   ;6.5      ;     ~   ;G0V                  
1690;* zet Aql                          ;PM*;19 05 24.6080155 +13 51 48.518212      ; -6.575 -95.909     ;38.2329   ;-25.00     ;-0.000083   ;-25.00     ;2.99     ;3.00     ;2.99     ;2.98     ;2.98     ;A0IV-Vnn             
1691;V* V1452 Aql                       ;Ce*;19 20 40.8463082640 +14 25 08.722851240;  -1.974 -6.032     ;0.3355    ;~          ;~           ;~          ;10.75    ;9.39     ;7.80     ;6.54     ;5.60     ;F1Ia                 
1692;* eps Del                          ;*  ;20 33 12.7728639045 +11 18 11.758994803; 10.915 -19.606     ;8.9149    ;-19.40     ;-0.000065   ;-19.40     ;3.43     ;3.90     ;4.03     ;4.05     ;4.18     ;B6IV                 
1693;HD 196885                          ;SB*;20 39 51.8748403032 +11 14 58.700231052;  71.915 89.318     ;29.4076   ;-30.800    ;-0.000103   ;-30.80     ;     ~   ;6.92     ;6.385    ;6.32     ;     ~   ;F8V                  
1694;* bet Ser                          ;PM*;15 46 11.2551806454 +15 25 18.549468647; 65.958 -47.791     ;21.5924   ;0.60       ;0.000002    ;0.60       ;3.81     ;3.73     ;3.67     ;3.61     ;3.58     ;A2IV                 
1695;* gam Ser                          ;PM*;15 56 27.1826577018 +15 39 41.809580382;311.183 -1282.767   ;89.5647   ;6.523      ;0.000022    ;6.52       ;4.31     ;4.34     ;3.84     ;3.37     ;3.13     ;F6V                  
1696;HD 158806                          ;SB*;17 30 35.1483711168 +17 31 14.995842528;-119.568 119.791    ;16.9927   ;-31.76     ;-0.000106   ;-31.76     ;     ~   ;7.38     ;6.93     ;6.7      ;     ~   ;F6IV                 
1697;HD 163675                          ;PM*;17 56 37.9477364016 +18 36 44.746661592;  211.397 6.668     ;24.4537   ;-29.71     ;-0.000099   ;-29.71     ;8.490    ;7.580    ;     ~   ;5.9      ;     ~   ;K0                   
