C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
64  ;HD 204153                          ;PM*;21 25 19.5488561064 +46 42 51.628763376; 188.777 48.142     ;29.3328   ;-7.35      ;-0.000025   ;-7.35      ;     ~   ;5.907    ;5.580    ;5.4      ;     ~   ;F0V                  
65  ;* bet Lac                          ;** ;22 23 33.6233135918 +52 13 44.568181879;-13.933 -186.664    ;19.3014   ;-11.02     ;-0.000037   ;-11.02     ;6.26     ;5.46     ;4.44     ;3.67     ;3.10     ;G9IIIbCa1            
66  ;HD 219623                          ;PM*;23 16 42.3035603040 +53 12 48.509346060;112.461 -236.554    ;48.5197   ;-27.006    ;-0.000090   ;-27.00     ;     ~   ;6.06     ;     ~   ;5.2      ;     ~   ;F8V                  
67  ;* lam Cas                          ;** ;00 31 46.3593467 +54 31 20.225689      ;   41.20 -16.54     ;8.64      ;-12.20     ;-0.000041   ;-12.20     ;     ~   ;     ~   ;     ~   ;6.25     ;     ~   ;B8Vn                 
68  ;* zet Cas                          ;bC?;00 36 58.2844874846 +53 53 48.877599163;  17.444 -9.523     ;6.6657    ;-0.20      ;-0.000001   ;-0.20      ;2.58     ;3.47     ;3.66     ;3.74     ;3.95     ;B2IV                 
69  ;* mu. Cas                          ;SB*;01 08 16.3029454473 +54 55 12.561201263;3468.251 -1564.844  ;130.2881  ;-96.488899 ;-0.000322   ;-96.47     ;5.93     ;5.86     ;5.17     ;4.55     ;4.13     ;G5Vb                 
70  ;* 6 Per                            ;SB*;02 13 36.3431564393 +51 03 56.807950671;342.991 -163.937    ;18.1422   ;31.46      ;0.000105    ;31.46      ;     ~   ;6.24     ;     ~   ;4.7      ;     ~   ;G8.5IIIbFe-2         
71  ;* kap Per                          ;PM*;03 09 29.8036400506 +44 51 26.849828627;165.691 -138.559    ;28.7314   ;29.40      ;0.000098    ;29.40      ;5.62     ;4.79     ;3.81     ;3.07     ;2.57     ;G9.5IIIb             
72  ;HD 193322                          ;** ;20 18 06.98820 +40 43 55.5001          ;    -2.33 -6.16     ;1.68      ;-8.40      ;-0.000028   ;-8.40      ;5.17     ;5.94     ;5.84     ;5.69     ;5.68     ;O9IV(n)+B1.5V        
73  ;HD 195592                          ;s*b;20 30 34.9690901208 +44 18 54.859533372;   -2.506 1.061     ;0.5603    ;-27.80     ;-0.000093   ;-27.80     ;7.75     ;7.95     ;7.08     ;6.29     ;5.60     ;O9.7Ia               
74  ;* alf Cyg                          ;sg*;20 41 25.91514 +45 16 49.2197          ;      2.01 1.85     ;2.31      ;-4.90      ;-0.000016   ;-4.90      ;1.11     ;1.34     ;1.25     ;1.14     ;1.04     ;A2Ia                 
75  ;* 55 Cyg                           ;s*b;20 48 56.2915921440 +46 06 50.883645024;  -2.233 -2.516     ;0.5435    ;-7.2       ;-0.000024   ;-7.20      ;4.83     ;5.28     ;4.86     ;4.41     ;4.10     ;B2.5Ia               
76  ;* f01 Cyg                          ;Be*;20 59 49.5541247496 +47 31 15.363746436;    7.857 4.065     ;1.4681    ;1.40       ;0.000005    ;1.40       ;3.77     ;4.71     ;4.75     ;4.62     ;4.63     ;B1.5Vnne             
77  ;HD 199478                          ;s*b;20 55 49.8039729168 +47 25 03.564093468;  -2.199 -4.095     ;0.3915    ;-15.00     ;-0.000050   ;-15.00     ;5.79     ;6.12     ;5.64     ;5.16     ;4.78     ;B7Ia                 
78  ;HD 208502                          ;PM*;21 54 59.7407165136 +53 56 08.173875588; 149.739 87.493     ;21.5236   ;-2.78      ;-0.000009   ;-2.78      ;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F5                   
79  ;V* RW Cep                          ;s*r;22 23 07.0152061200 +55 57 47.624368284;  -3.606 -2.881     ;0.114     ;-56.00     ;-0.000187   ;-55.99     ;11.25    ;8.87     ;6.65     ;4.94     ;3.78     ;K2_0-Ia              
80  ;V* V509 Cas                        ;LP*;23 00 05.1012218544 +56 56 43.350876312;  -3.013 -2.213     ;0.2507    ;-50.20     ;-0.000167   ;-50.20     ;8.01     ;6.68     ;5.13     ;3.96     ;3.11     ;G4_0                 
81  ;HD 219134                          ;PM*;23 13 16.9749603608 +57 10 06.083823619;2074.414 294.452    ;152.8640  ;-18.475    ;-0.000062   ;-18.47     ;7.460    ;6.560    ;5.570    ;4.76     ;4.23     ;K3V                  
82  ;* rho Cas                          ;LP*;23 54 23.0325302520 +57 29 57.774737400;  -4.699 -3.112     ;0.9470    ;-55.15     ;-0.000184   ;-55.14     ;7.00     ;5.85     ;4.59     ;3.63     ;2.89     ;G2_0                 
83  ;HD 222794                          ;** ;23 43 27.0432915859 +58 04 49.071177861;390.534 481.212     ;21.9916   ;-70.516    ;-0.000235   ;-70.51     ;     ~   ;7.77     ;     ~   ;6.8      ;     ~   ;G2V                  
